â,آ
kıyas,قياس
kıymet,قيمت
kıymetdar,قيمتدار
kıyr,قير
kıyye,قيه
kibar,كبار
kibr,كبر
kifayet,كفایت
kihâlet,كحالت
kîl,قيل
kilâb,كلاب
kîle,كيله
kilîsa,كليسا
kilk,كلك
kîlükâl,قيل و قال
kilye,كليه
kimyâger,كيمياگر
kimyevî,كيميوی
kinâyeâmîz,كنایه آميز
kindar,كيندار
kînecû,كينه جو
kirâm,كرام
kirâren,كرارا
kirbâs,كرباس
kirm,كرم
kirm-i ebrîşem,كرم ابریشم
kirm-i şebefruz,كرم شب افروز
kîse,كيسه
kisve,كسوه
kisvet,كسوت
kîş,كيش
kişt,كشت
kiştzar,كشتزار
kişver,كشور
kişverküşâ,كشوركشا
kitâb,كتاب
kitâbe,كتابه
kitabhâne,كتابخانه
kitmân,كتمان
kiyâset,كياست
kizb,كذب
köhne,كهنه
kubh,قبح
kubûr,قبور
kûçe,كوچه
kudât,قضات
kûdek,كودک
kudemâ,قدما
kudret,قدرت
kudsî,قدسى
kudsiyân,قدسيان
kudsiyet,قدسيت
kudsiyetşiken,قدسيت شكن
kudûm,قدوم
kudûmzen,قدوم زن
kûfe,كوفه
kufl,قفل
kûfte,كوفته
kûh,كوه
kûhân,كوهان
kûhistan,كوهستان
kuhl,كحل
kulel,قلل
kullâb,قلاب
kulle,قله
kulûb,قلوب
kumâr,قمار
kumâş,قماش
kumrî,قمری
kûr,كور
kur'a,قرعه
kurâ,قراء
kurâze,قراضه
kurb,قرب
kûre,كوره
kûrî,كوری
kurrâ,قراء
kurs,قرص
kurûn,قرون
kurûn-i kadîme,قرون قدیمه
kurûn-i ûlâ,قرون اولى
kurûn-i vüstâ,قرون وسطى
kûs,كوس
kûse,كوسه
kusur,قصور
kusûr,قصور
kûşe,كوشه
kûşiş,كوشش
kûşk,كوشك
kût,قوت
kûtah,كوتاه
kûtahnazar,كوتاه نظر
kutb,قطب
kutn,قطن
kutr,قطر
kuûd,قعود
kuvâ,قوا
kuvve,قوه
kuvve-i muhayyile,قوهء مخيله
kuvve-i müeyyide,قوهء مؤیده
kuvvet,قوت
kûy,كوی
kuyûd,قيود
kuyûdat,قيودات
kuzât,قضات
kûze,كوزه
kübrâ,كبرا
küdûr,كدور
küdûret,كدورت
küffar,كفار
küfr,كفر
küfrbâz,كفرباز
kühen,كهن
külah,كلاه
külbe,كلبه
küleh,كله
külfet,كلفت
küll,كل
küllî,كلى
külliyyen,كليا
künc,كنج
küngüre,كنگره
künh,كنه
künûn,كنون
künûz,كنوز
küre,كره
küre-i arz,كرهء ارض
kürevî,كروی
kürre,كره
kürsî,كرسى
küsûf,كثوف
küsûr,كسور
küşad,كشاد
küştî,كشتى
küttâb,كتاب
kütüb,كتب
kütübhâne,كتبخانه
lâ,لا
lâakal,لااقل
lâbe,لابه
lâbis,لابس
lâbüd,لابد
lâcerem,لاجرم
lâcverd,لاجورد
lâdînî,لادینى
lâf,لاف
lafazan,لافزن
lafız,لفظ
lâfügüzâf,لاف و گزاف
lafz,لفظ
lafzî,لفظى
lâgar,لاغر
lağv,لغو
lağz,لغز
lağziş,لغزش
lahd,لحد
lahika,لاحقه
lahm,لحم
lahn,لحن
laht,لخت
lâhûtî,لاهوتى
lahza,لحظه
laîn,لعين
lakab,لقب
lâkayd,لاقيد
lâkaydî,لاقيدی
lâkin,لكن
laklâk,لقلاق
laklaka,لقلقه
la'l,لعل
lâl,لال
lâle,لاله
lâlekâ,لالكا
lâlettayin,لا على التعيين
lâlezar,لاله زار
lâmehâle,لامحاله
lâmekan,لامكان
lâmi',لامع
lâmia,لامعه
lâmise,لامسه
lâne,لانه
lanet,لعنت
lâsiyyema,لاسيما
lâşe,لاشه
lâşehâr,لاشه خوار
latif,لطيف
latife,لطيفه
latifegû,لطيفه گو
latme,لطمه
lâubali,لاابالى
lây,لای
lâya'kil,لایعقل
lâyemut,لایموت
lâyenkatı,لاینقطع
lâyetecezza,لایتجزا
lâyetegayyer,لایتغير
lâyetenâhi,لا یتناهى
lâyetezelzül,لا یتزلزل
lâyiha,لایحه
lâyuad,لایعد
lâzevâl,لازوال
lâzım,لازم
lâzıme,لازمه
leâli,لئالى
leb,لب
lebâleb,لبالب
leben,لبن
leb-i derya,لب دریا
lecâcet,لجاجت
lecûc,لجوج
ledünnî,لدنى
leffen,لفا
leh,له
lehv,لهو
leîm,لئيم
leîmâne,لئيمانه
leked,لكد
lekedâr,لكه دار
lem'a,لمعه
lemeân,لمعان
lemeât,لمعات
lems,لمس
lemyezel,لم یزل
leng,لنگ
lerzân,لرزان
lerziş,لرزش
leşker,لشكر
letâfet,لطافت
letâif,لطائف
levâhık,لواحق
levâyih,لوایح
levâzım,لوازم
levend,لوند
levh,لوح
levha,لوحه
levn,لون
levs,لوث
levze,لوزه
leyâlî,ليالى
leyl,ليل
leyle,ليله
leylî,ليلى
leylünehâr,ليل و نهار
leyyin,لين
lezâiz,لذائذ
lezîz,لذیذ
lezzât,لذات
lezzet,لذت
libas,لباس
licâm,لجام
lifâfe,لفافه
ligâm,لگام
lihâf,لحاف
lihye,لحيه
lîk,ليك
likâ,لقا
lîme,ليمه
lîmû,ليمو
lisân,لسان
lisanî,لسانى
lisâniyyat,لسانيات
lise,لثه
livâ,لوا
livata,لواطه
liyakat,لياقت
luâb,لعاب
lu'bet,لعبت
lu'betbaz,لعبت باز
lugat,لغت
lugât,لغات
lugaz,لغز
lukme,لقمه
lûle,لوله
lutf,لطف
lutfkâr,لطفكار
lutufdîde,لطف دیده
lutufkâr,لطفكار
lübb,لب
lücce,لجه
lüknet,لكنت
lüle,لوله
lü'lü,لؤلؤ
lüzum,لزوم
mâ,ما
mâ,ما
maâbid,معابد
maâbir,معابر
maâd,معاد
mâadâ,ماعدا
maâdin,معادن
maalesef,مع الأسف
maalmemnûniye,مع الممنونيه
maânî,معانى
maarif,معارف
maârif,معارف
maâş,معاش
maatteessüf,مع التأسف
ma'âyib,معایب
maazâlik,مع ذلك
maâzallah,معاذ اﷲ
mâbad,مابعد
mâba'dut-tabîa,مابعدالطبيعه
mâba'duttabîiyye,مابعدالطبيعيه
mabed,معبد
ma'ber,معبر
mâbeyn,مابين
mabud,معبود
mâcera,ماجرا
mâceraperest,ماجراپرست
maceraperestî,ماجراپرستى
mâdâmülhayat,مادامالحيات
madde be madde,ماده بماده
maddî,مادی
maddiyet,مادیت
maddiyye,مادیه
mâde,ماده
mâdelet,معدلت
madeniyyât,معدنيات
mâder,مادر
maderî,مادری
mâderzâd,مادرزاد
mâdiyân,مادیان
madûd,معدود
mâdum,معدوم
mâdumiyet,معدوميت
mâdun,مادون
mâfevk,مافوق
mafsal,مفصل
magâre,مغاره
mağâk,مغاک
mağâzî,مغازی
mağbûn,مغبون
mağdûr,مغدور
mağduriyet,مغدوریت
mağfiret,مغفرت
mağfur,مغفور
mağlata,مغلطه
mağlub,مغلوب
mağmûm,مغموم
mağrib,مغرب
mağrur,مغرور
mağrûrane,مغرورانه
mağsub,مغصوب
mağşuş,مغشوش
mağz,مغز
mağzûb,مغضوب
mâh,ماه
mahabbet,محبت
mahâfil,محافل
mahâkim,محاكم
mahal,محل
mahall,محل
mahallî,محلى
mahalliye,محليه
mâhâne,ماهانه
mahâret,مهارت
mâhasal,ماحصل
mahâsin,محاسن
mâhazar,ماحضر
mahâzin,مخازن
mahâzîr,محاذیر
mahbes,محبس
mahbûb,محبوب
mahbus,محبوس
mahcûb,محجوب
mahcûbiyet,محجوبيت
mahcûz,محجوظ
mahdud,محدود
mahdum,مخدوم
mâhe,ماهه
mahfaza,محفظه
mahfî,مخفى
mahfil,محفل
mahfiyyen,مخفيا
mahfuz,محفوظ
mâh-ı nev,ماه نو
mâh-ı sipihr,ماه سپهر
mâhî,ماهى
mahir,ماهر
mahiyet,ماهيت
mahkûk,محكوک
mahkum,محكوم
mahlas,مخلص
mahlû,مخلوع
mahluk,مخلوق
mahlul,محلول
mahlut,مخلوط
mahmûd,محمود
mahmul,محمول
mahmur,مخمور
mâhpâre,ماه پاره
mahrec,مخرج
mahrem,محرم
mâhru,ماهرو
mahruk,محروق
mahrûkat,محروقات
mahrum,محروم
mahrumiyet,محروميت
mahrut,مخروط
mahsûb,محسوب
mahsûl,محصول
mahsur,محصور
mahsus,مخصوص
mahsûs,مخصوص
mahşer,محشر
mâhtâb,ماهتاب
mahtûm,مختوم
mahtût,مخطوط
mahv,محو
mahz,محض
mahzar,محضر
mahzun,محزون
mahzûnane,محزونانه
mahzur,محذور
mahzûzat,محظوظات
mâî,مائى
mâ-i mukattar,ماء مقطر
mâide,مائده
mâil,مائل
maîşet,معيشت
maiyyet,معيت
makâbir,مقابر
mâkabl,ماقبل
mâkablettârih,ماقبل التاریخ
mak'ad,مقعد
makâl,مقال
makam,مقام
makâmat,مقامات
makarr,مقر
makâsıd,مقاصد
makber,مقبر
makbere,مقبره
makbul,مقبول
makbuz,مقبوض
makdem,مقدم
makdur,مقدور
makes,معكس
makhûr,مقهور
mâkiyan,ماكيان
makrun,مقرون
maksad,مقصد
maksûd,مقصود
makta,مقطع
maktel,مقتل
maktû,مقطوع
maktül,مقتول
mâkul,معقول
makûlat,معقولات
makûle,مقوله
makûs,معكوس
mal,مال
mâlâmâl,مالامال
mâlî,مالى
mâlihulya,مالى خوليا
mâlik,مالك
mâlikiyet,مالكيت
maliye,ماليه
malûl,معلول
malûlen,معلولا
malûlîn,معلولين
malûm,معلوم
malûmat,معلومات
malûmatfurûş,معلومات فروش
mâmafih,مع مافيه
mâmelek,ماملك
mamûl,معمول
mamûlat,معمولات
mamûr,معمور
mamûre,معموره
mamûriyet,معموریت
mana,معنى
manen,معنا
mânend,مانند
manevî,معنوی
maneviyat,معنویات
mani,معنى
ma'ni,معنى
mânia,مانعه
manidar,معنى دار
mansıb,منصب
mansıbdar,منصبدار
mansur,منصور
mantıkan,منطقا
mantıkî,منطقى
mantıkiyyûn,منطقيون
manzar,منظر
manzara,منظره
manzum,منظوم
manzûmât,منظومات
manzûme,منظومه
manzur,منظور
mâr,مار
maraz,مرض
ma'raz,معرض
marazî,مرضى
ma'reke,معركه
mârgîr,مارگير
marifet,معرفت
mariz,مریض
mârpîç,مارپيچ
maruf,معروف
marûf,معروف
maruz,معروض
maruzat,معروضات
mâsabak,ماسبق
masâri,مصارع
masârif,مصارف
masdar,مصدر
mâsebak,ماسبق
mashara,مسخره
mâsiva,ماسوی
masiyet,معصيت
maskat,مسقط
maskat-ı re's,مسقط رأس
maslahat,مصلحت
maslahatgüzar,مصلحت گزار
masnû,مصنوع
masraf,مصرف
masrû,مصروع
masrûf,مصروف
mass,مص
mâst,ماست
mastaba,مصطبه
masum,معصوم
masumane,معصومانه
masume,معصومه
masumiyet,معصوميت
masûn,مصون
mâşe,ماشه
maşer,معشر
maşerî,معشری
ma'şerî,معشری
mâşıta,ماشطه
mâşî,ماشى
mâşiyen,ماشيا
maşrık,مشرق
maşûk,معشوق
maşuka,معشوقه
matbaa,مطبعه
matbah,مطبخ
matbû,مطبوع
matbûat,مطبوعات
mâtem,ماتم
mâtemdar,ماتمدار
mâtemî,ماتمى
mâtemserâ,ماتمسرا
mâtemzede,ماتم زده
matla,مطلع
matlab,مطلب
matlub,مطلوب
matlûb,مطلوب
matrûd,مطرود
matrûş,مطروش
matuf,معطوف
matûh,معتوه
matûhe,معتوهه
mâvaka,ماوقع
mâverâ,ماورا
mavtın,موطن
mâye,مایه
mâyedar,مایه دار
mâyi,مایع
mayûb,معيوب
mazanna,مظنه
mazarrat,مضرت
mazarrât,مضرات
mazbata,مضبطه
mazbut,مضبوط
mazbutat,مضبوطات
mazeret,معذرت
mazerethâh,معذرت خواه
mazhar,مظهر
mâzi,ماضى
mazlum,مظلوم
mazlumâne,مظلومانه
mazlûmiyet,مظلوميت
mazmaza,مضمضه
mazmun,مضمون
maznun,مظنون
mazrub,مضروب
mazruf,مظروف
mâzu,مازو
mazûl,معزول
mazur,معذور
meâb,مآب
meâd,معاد
meâhiz,مآخذ
meâl,مآل
meâric,معارج
meâsî,معاصى
meâyib,معایب
mebâd,مباد
mebâdâ,مبادا
mebâdî,مبادی
mebâhis,مباحث
mebânî,مبانى
mebde',مبدأ
mebde-i tarih,مبدأ تاریخ
mebhas,مبحث
mebhûs,مبحوث
mebhût,مبهوت
meblağ,مبلغ
mebnâ,مبنى
mebnî,مبنى
mebsût,مبسوط
mebsûten,مبسوطا
mebus,مبعوث
mebzûl,مبذول
mebzûlen,مبذولا
mebzûliyet,مبذوليت
mecâl,مجال
mecâlis,مجالس
mecâmi,مجامع
mecânîn,مجانين
mecbûr,مجبور
mecbûrî,مجبوری
mecbûriyet,مجبوریت
meccânen,مجانا
meccânî,مجانى
mecd,مجد
mecelle,مجله
mechûl,مجهول
mechûlât,مجهولات
mechûliyet,مجهوليت
mechûlünneseb,مجهول النسب
mecîd,مجيد
meclis,مجلس
meclisefrûz,مجلس افروز
meclûb,مجلوب
mecma',مجمع
mecmû',مجموع
mecmûa,مجموعه
mecmûan,مجموعا
mecnûn,مجنون
mecnûnâne,مجنونانه
mecrâ,مجرا
mecrûh,مجروح
mecrûhîn,مجروحين
mec'ûl,مجعول
mecûsî,مجوسى
meczûb,مجذوب
medâfin,مدافن
medâr,مدار
medâric,مدارج
medâris,مدارس
medd,مد
meddâh,مداح
meded,مدد
mededhâh,مددخواه
mededkâr,مددكار
mededres,مددرس
medenî,مدنى
medeniyyet,مدنيت
medfa,مدفع
medfen,مدفن
medfû,مدفوع
medfûn,مدفون
medh,مدح
medhal,مدخل
medhaldâr,مدخلدار
medhiye,مدحيه
medhiyyât,مدحيات
medhûş,مدهوش
medîd,مدید
medîde,مدیده
medîha,مدیحه
medîhagû,مدیحه گو
medîne,مدینه
medînetünnebî,مدینة النبى
medînetüsselam,مدینة السلام
medlûl,مدلول
medresevî,مدرسوی
medrûs,مدروس
med'uv,مدعو
med'uvvîn,مدعوین
medyûn,مدیون
mefâhîm,مفاهيم
mefâhir,مفاخر
mefâsıl,مفاصل
mefâtih,مفاتيح
mefhar,مفخر
mefhum,مفهوم
mefkûd,مفقود
mefkûre,مفكوره
mefkûrevî,مفكوروی
meflûc,مفلوج
meflûciyet,مفلوجيت
mefrûş,مفروش
mefrûşat,مفروشات
mefrûz,مفروز
mefrûz,مفروض
meftûh,مفتوح
meftûn,مفتون
meftûniyet,مفتونيت
meger,مگر
meges,مگس
meğâk,مغاک
meh,مه
mehâbet,مهابت
mehâlik,مهالك
mehâr,مهار
mehaz,مأخذ
mehbil,مهبل
mehd,مهد
mehekk,محك
mehîb,مهيب
mehl,مهل
mehleke,مهلكه
mehlikâ,مه لقا
mehpare,مه پاره
mehpeyker,مه پيكر
mehr,مهر
mehrû,مهرو
mehtâb,مهتاب
mehûz,مأخوذ
mehveş,مهوش
mekân,مكان
mekâre,مكاره
mekârim,مكارم
mekâtib,مكاتب
mekâtîb,مكاتيب
mekâtib-i âliye,مكاتب عاليه
mekâtib-i askeriye,مكاتب عسكریه
mekhûl,مكحول
meknûn,مكنون
mekr,مكر
mekrûh,مكروه
meks,مكث
meksur,مكسور
mekşûf,مكشوف
mekteb,مكتب
mekteb-i âlî,مكتب عالى
mekteb-i harbiye,مكتب حربيه
mekteb-i ibtidâî,مكتب ابتدائى
mekteb-i i'dâdî,مكتب اعدادی
mekteb-i rüşdî,مكتب رشدی
mekteb-i sultânî,مكتب سلطانى
mektep,مكتب
mektub,مكتوب
mektûbat,مكتوبات
mektûbî,مكتوبى
mektûm,مكتوم
melabe,ملعبه
melâbis,ملابس
melah,ملخ
melahat,ملاحت
melâhide,ملاحده
melâik,ملائك
melâike,ملائكه
melâl,ملال
melanet,ملعنت
melce,ملجأ
melekât,ملكات
meleke,ملكه
meleksîmâ,ملك سيما
melekût,ملكوت
melfûfen,ملفوفا
melhûz,ملحوظ
melik,ملك
mellah,ملاح
melsûk,ملصوق
melûf,مألوف
melun,ملعون
memâlik,ممالك
memât,ممات
memduh,ممدوح
memer,ممر
memhûr,ممهور
memleket,مملكت
memlûk,مملوک
memnû,ممنوع
memnûa,ممنوعه
memnûiyet,منوعيت
memnun,ممنون
memnûn,ممنون
memnuniyet,ممنونيت
memûl,مأمول
memur,مأمور
memurîn,مأمورین
memûriyet,مأموریت
memzuc,ممزوج
men,من
men',منع
menâbi',منابع
menâfi',منافع
menâkıb,مناقب
menâm,منام
menâre,مناره
menâsıb,مناصب
menâtık,مناطق
menâzır,مناظر
menâzil,منازل
menba,منبع
menfâ,منفى
menfaat,منفعت
menfaatperest,منفعت پرست
menfez,منفذ
menfî,منفى
menfur,منفور
menhî,منهى
menhiyat,منهيات
menhus,منحوس
meni,منى
menî,منى
menî',منيع
menkabe,منقبه
menkûha,منكوحه
menkul,منقول
menkûş,منقوش
mensûb,منصوب
mensûbîn,منصوبين
mensubiyet,منصوبيت
mensûc,منسوج
mensûcât,منسوجات
mensûh,منسوخ
mensûr,منثور
menşe,منشا
menşur,منشور
menus,مأنوس
menût,منوط
menzil,منزل
menzilgâh,منزلگاه
mera,مرعى
merâkiz,مراكز
merâm,مرام
merâret,مرارت
merâsî,مراثى
merâsim,مراسم
merâtib,مراتب
merbut,مربوط
merbûtiyet,مربوطيت
mercân,مرجان
merci,مرجع
merd,مرد
merdâne,مردانه
merdiven,نردبان
merdûd,مردود
merdum,مردم
merdüm,مردم
merdümek,مردمك
merdümgiriz,مرمگریز
merdümhar,مردم خوار
merdümî,مردمى
meremmet,مرمت
merg,مرگ
mergub,مرغوب
merhale,مرحله
merhamet,مرحمت
merhem,مرهم
merhemsâz,مرهمساز
merhûm,مرحوم
merhûme,مرحومه
merhun,مرهون
mer'î,مرئى
merih,مریخ
merkad,مرقد
merkeb,مركب
merkum,مرقوم
merkûz,مركوز
mermi,مرمى
mermûz,مرموز
merrât,مرات
merre,مره
mersiye,مرثيه
mertebe,مرتبه
merzagî,مرزغى
merzüban,مرزبان
mesâ,مسا
mesâcid,مساجد
mesafe,مسافه
mesâha,مساحه
mesai,مساعى
mesâib,مصائب
mesâil,مسائل
mesâkin,مساكن
mesâkîn,مساكن
mesâme,مسامه
mesârif,مصارف
mesâvî,مساوی
mescid,مسجد
mesdûd,مسدود
mesel,مثل
meselâ,مثلا
mesele,مسئله
meserrât,مسرات
meserret,مسرت
mesh,مسخ
meshûr,مسحور
mesîh,مسيح
mesîhî,مسيحى
mesîhiyyet,مسيحيت
mesîr,مسير
mesîre,مسيره
mesken,مسكن
meskenet,مسكنت
meskûkât,مسكوكات
meskûn,مسكون
meslah,مسلخ
meslek,مسلك
meslûl,مسلول
mesmû,مسموع
mesmûat,مسموعات
mesmûm,مسموم
mesned,مسند
mesnevîhan,مثنوی خوان
mesruk,مسروق
mesrûr,مسرور
mesrûrane,مسرورانه
messah,مساح
mest,مست
mestâne,مستانه
mestî,مستى
mest-i harâb,مست خراب
mestûr,مستور
mestûr,مسطور
mesud,مسعود
mesûdâne,مسعودانه
mesuliyet,مسئوليت
meşâgil,مشاغل
meşâhîr,مشاهير
meşâil,مشاعل
meşakkat,مشقت
meş'al,مشعل
meşâmm,مشام
meşârık,مشارق
meşâyih,مشایخ
meşbû,مشبوع
meşcer,مشجر
meşcere,مشجره
meşgale,مشغله
meşgûliyet,مشغوليت
meşhed,مشهد
meşher,مشهر
meşhûd,مشهود
meşhûn,مشحون
meşhûr,مشهور
meşîhat,مشيخت
meşk,مشق
meşk,مشك
meşkûk,مشكوک
meşkûkiyyet,مشكوكيت
meşkûr,مشكور
meşreb,مشرب
meşrebe,مشربه
meşrû,مشروع
meşrûbât,مشروبات
meşrûh,مشروح
meşrûhât,مشروحات
meşrûiyyet,مشروعيت
meşrût,مشروط
meşşâte,مشاطه
meş'um,مشئوم
meş'ûr,مشعور
meşveret,مشورت
metâ,متاع
metâli,مطالع
metânet,متانت
metbû,متبوع
metin,متين
metn,متن
metremik'ab,مترو مكعب
metrûk,متروک
metrûkat,متروكات
metrûkiyet,متروکیت
me'vâ,مأوا
mevâd,مواد
mevârid,موارد
mevc,موج
mevce,موجه
mevcûd,موجود
mevcûdât,موجودات
mevcûdiyyet,موجودیت
meveddet,مودت
mevhibe,موهبه
mevhûm,موهوم
mev'ize,موعظه
mevki,موقع
mevkib,موكب
mevkif,موقف
mevki-i rüchan,موقع رجحان
mevkûf,موقوف
mevkufleh,موقوف له
mevlâ,مولى
mevlid,مولد
mevsuk,موثوق
mevsûkiyet,موثوقيت
mevsûm,موسوم
mevt,موت
mevtâ,موتا
mevtâî,موتائى
mevtın,موطن
mev'ûd,موعود
mevzi,موضع
mevzi'î,موضعى
mevzû,موضوع
mevzu-i bahis,موضوع بحث
mevzun,موزون
mey,مى
meyân,ميان
meydân,ميدان
meygûn,ميگون
meyhâne,ميخانه
meyhâr,ميخوار
meyil,ميل
meykede,ميكده
meyl,ميل
meymene,ميمنه
meymûn,ميمون
meysere,ميسره
meyt,ميت
meyus,مأیوس
me'yûs,مأیوس
meyvedâr,ميوه دار
meyyâl,ميال
meyyit,ميت
mezâhib,مذاهب
mezâlim,مظالم
mezâmin,مضامن
mezargâh,مزارگاه
mezâri,مزارع
mezâyâ,مزایا
mezbele,مزبله
mezbuh,مذبوح
mezbûr,مزبور
mezc,مزج
mezellet,مذلت
mezheb,مذهب
mezîd,مزيد
meziyyât,مزیات
meziyyet,مزیت
mezkûr,مذكور
mezmûm,مذموم
mezra,مزرع
mezra'a,مزرعه
mezrû,مزروع
mezun,مأذون
mezunen,مأذونا
mıkraz,مقراض
mıntaka,منطقه
mısbah,مصباح
mısdak,مصداق
mısra,مصراع
mıtrak,مطرق
mızrab,مضرب
mızrak,مزراق
miâd,ميعاد
micmer,مجمر
midevî,معدوی
midhat,مدحت
mie,مائه
miftah,مفتاح
miğfer,مغفر
mîh,ميخ
mihekk,محك
mihen,محن
mihmân,مهمان
mihmannevaz,مهمان نواز
mihmannüvaz,مهمان نواز
mihmânserâ,مهمان سرا
mihnet,محنت
mihr,مهر
mihrak,محراق
mihrbân,مهربان
mihter,مهتر
mihver,محور
mik'ab,مكعب
mîkat,ميقات
mikdar,مقدار
mikraz,مقراض
mikyas,مقياس
mil,ميل
mîlâd,ميلاد
milel,ملل
milhafe,ملحفه
milk,ملك
millet,ملت
millî,ملى
milliyetperver,مایت پرور
milliyye,مليه
mîna,مينا
minba'd,من بعد
minelkadim,من القدیم
minen,منن
minkale,منقله
minkar,منقار
minkaş,منقاش
minnetdâr,منتدار
minşâr,منشار
minvâl,منوال
mirâc,معراج
mîrahur,ميرآخور
miralay,ميرآلای
mirâren,مرارا
mirashâr,ميراث خوار
mir'ât,مرآت
mirliva,ميرلوا
mirsâd,مرصاد
mirvaha,مروحه
mirza,ميرزا
mîsak,ميثاق
misal,مثال
misâli,مثالی
miskin,مسكين
miskîn,مسكين
misl,مثل
mîşîn,ميشين
mithara,مطهره
mîvedar,ميوه دار
miyâh,مياه
miyân,ميان
miyâr,معيار
mizâc,مزاج
mîzan,ميزان
mû,مو
mu‘arrif,معرف
muabbir,معبر
muaccel,معجل
muaddil,معدل
muâdele,معادله
muâdelet,معادلت
muâdil,معادل
muâfiyet,معافيت
muâhede,معاهده
muâhedenâme,معاهده نامه
muâheze,مؤاخذه
muahhar,مؤخر
muakkib,معقب
mualla,معلى
muallak,معلق
muallakiyet,معلقيت
muallim,معلم
muallimât,معلمات
muallime,معلمه
muallimîn,معلمين
muamelat,معاملات
muamele,معامله
muamma,معما
muanber,معنبر
muânid,معاند
muannid,معند
muâraza,معارضه
muârız,معارض
muarrâ,معری
muâsır,معاصر
muâşaka,معاشقه
muâvaza,معاوضه
muavenet,معاونت
muavin,معاون
muayede,معایده
muayyen,معين
muazzam,معظم
muazzeb,معذب
muazzez,معزز
mubassır,مبصر
mûcez,موجز
mûcib,موجب
mûcid,موجد
mu'cizât,معجزات
mu'cizegû,معجزه گو
mudhike,مضحكه
mufassalan,مفصلا
mugâlata,مغالطه
mugannî,مغنى
muganniye,مغنيه
mugâyeret,مغایرت
mugayir,مغایر
mugîlân,مغيلان
muğber,مغبر
muğfil,مغفل
muğlak,مغلق
muğlakiyet,مغلقيت
muhabbet,محبت
muhabere,مخابره
muhabir,مخابر
muhâceret,مهاجرت
muhacim,مهاجم
muhacir,مهاجر
muhaddir,مخدر
muhaddis,محدث
muhafaza,محافظه
muhafazakâr,محافظه كار
muhafazakâr,محافظه كار
muhaffef,مخفف
muhaffif,مخفف
muhâfız,محافظ
muhâkemat,محاكمات
muhakeme,محاكمه
muhakkak,محقق
muhakkık,محقق
muhâl,محال
muhalefet,مخالفت
muhallil,محلل
muhammen,مخمن
muhammer,مخمر
muhammes,مخمس
muhannens,مخنث
muhannet,محنط
muharebat,محاربات
muharebe,محاربه
muharib,محارب
muharremât,محرمات
muharrer,محرر
muharrib,مخرب
muharrik,محرق
muharrir,محرر
muhasara,محاصره
muhasib,محاسب
muhassala,محصله
muhassas,مخصص
muhât,محاط
muhatara,مخاطره
muhavere,محاوره
muhayyel,مخيل
muhayyile,مخيله
muhayyirülukûl,محيرالعقول
muhbir,مخبر
muhık,محق
muhib,محب
mûhiş,موحش
muhit,محيط
muhtâc,محتاج
muhtariyet,مختاریت
muhtasar,مختصر
muhtasaran,مختصرا
muhtekir,محتكر
muhtelefünfîh,مختلف فيه
muhtelif,مختلف
muhtelit,مختلط
muhterem,محترم
muhteriz,محترز
muhteşem,محتشم
muhteva,محتوا
muhtevî,محتوی
muhteviyat,محتویات
muhyî,محيى
mukâbil,مقابل
mukaddem,مقدم
mukaddemâ,مقدما
mukadderat,مقدرات
mukaddes,مقدس
mukaddesat,مقدسات
mukaddime,مقدمه
mukallid,مقلد
mukanna,مقنع
mukannin,مقنن
mukarreb,مقرب
mukarrer,مقرر
mukarrerat,مقررات
mukassır,مقصر
mukattar,مقطر
mukavelat,مقاولات
mukavele,مقاوله
mukavelename,مقاوله نامه
mukavemet,مقاومت
mukavim,مقاوم
mukavvî,مقوی
mukâyese,مقایسه
mukayyed,مقيد
mukayyi,مقيىء
mukırr,مقر
mukîm,مقيم
mukni,مقنع
muktebes,مقتبس
muktedâ,مقتدا
muktedî,مقتدی
muktedir,مقتدر
muktesid,مقتصد
muktezî,مقتضى
mûmâileyh,مومى اليه
mûmâileyhim,مومى اليهم
mumza,ممضى
munfasıl,منفصل
munis,مونس
munkalib,منقلب
munkarız,منقرض
munsarif,منصرف
munsif,منصف
muntabık,منطبق
muntazam,منتظم
muntazaman,منتظما
muntazır,منتظر
munzam,منضم
mûr,مور
murabba,مربع
murabbauşşekl,مربع الشكل
murâd,مراد
murâfaa,مرافعه
murahhas,مرخص
murakabe,مراقبه
murakıb,مراقب
murakka,مرقع
murassa,مرصع
murg,مرغ
murûr,مرور
murzia,مرضعه
musâb,مصاب
musadif,مصادف
musâfaha,مصافحه
musahabe,مصاحبه
musahhah,مصحح
musahib,مصاحب
musalaha,مصالحه
musanna,مصنع
musannif,مصنف
musarra,مصرع
musattah,مسطح
musavver,مصور
musavvir,مصور
mushaf,مصحف
musîbet,مصيبت
mûsikîşinas,موسيقى شناس
musir,مصر
musirrane,مصرانه
mustakim,مستقيم
mûş,موش
muşamma,مشمع
mûşikâfâne,موشكافانه
muşt,مشت
mu'tâ,معطى
muta'assıb,متعصب
mutabık,مطابق
mu'tâd,معتاد
mu'tâde,معتاده
mutâlebât,مطالبات
mutâlebe,مطالبه
mutantan,مطنطن
mutarriden,مطردا
mutasarrıf,متصرف
mutasavvıfâne,متصوفانه
mutâva'at,مطاوعت
mutavattın,متوطن
mutayebe,مطایبه
mutazammin,متضمن
mutazarrır,متضرر
muteber,معتبر
mutedil,معتدل
mutekid,معتقد
mutemed,معتمد
mutî,مطيع
mu'tiyat,معطيات
mutlak,مطلق
