a,آ
mahrûkaat,محروقات
mahrûm,محروم
mahrûmiyet,محروميت
mahrût,مخروط
mahsub,محسوب
mahsûben,محسوباً
mahsul,محصول
mahsuldâr,محصولدار
mahsur,محصور
mahsus,مخصوص
mahsus,محسوس
mahsullü,محسوللى
mahşer,محشر
mâhud,معهود
mahuf,مخوف
mâhur,ماخور
mahv,محو
mahvedilmek,محو ايدلمك
mahviyet,محويت
mahvolmak,محواولمق
mahya,ماهيا
mahzâ,محضا
mahzen,محزن
mahzûf,محذوف
mahzur,محزون
mahzûnâne,محزونانه
mahzûniyet,محزونيت
mahzûr,محذور
mahzûrat,محظورات
mâî,مائى
mâil,مائل
mâiliyet,مائليت
maîşet,معيشت
maiyet,معيت
makaale,مقاله
mâkabil,ماقبل
makad,مقعد
makam,مقام
makar,مقر
makara,مقره
makarna,ماقارنه‌
makarna,مقارنه
makas,مقاص
makas,مقراص
mıkraz,مقراص
makasdar,مقاصدار
makat,مقاط
makbere,مقبره
makbûl,مقبول
makbuz,مقبوض
makhûr,مقهور
makine,ماكينه
makrûn,مقرون
maksad,مقصد
maksim,مقسم
maksûd,مقصود
maksûm,مقسوم
maksûmaleyh,مقسوم عليه
maksûr,مقصور
maksûre,مقصوره
maktâ’,مقطع
maktû’,مقطوع
maktûl,مقتول
mâkûl,معقول
makûle,مقوله
ma’kûs,معكوس
makyaj,ماكيياژ
mal,مال
mala,مالا
malak,مالاق
malalamak,مالالامق
mâlâmâl,مالامال
malârya,مالاريه
Malatya,ملاطيه
Malazgirt,ملازكرد
mâlen,مالاً
mâli,مالى
mâlihulyâ,مالخوليا
mâlik,مالك
mâlikâne,مالكانه
mâlikiyet,مالكيت
mâliye,ماليه
Malkara,معاقره
Malta,مالطه
maltız,مالطيز
ma’lûl,معلول
mâlûm,معلوم
mâlûmât,معلومات
mâlûmiyet,معلوميت
malzeme,مالزمه
mama,ماما
mâmûl,معمول
mâmûr,معمور
mâmûre,معموره
mâmûriyet,معموريت
mânâ,منا
manastır,مناستر
manav,مناو
Manavgat,مناوغات
mancınık,منجينيق
manda,ماندا
mandal,ماندال
mandalina,ماندالينا
mandallamak,مانداللامق
mandater,مانداتر
mandıra,مانديرا
mandıraköpeği,مانديراكوپگى
mandolin,ماندولين
mânen,معناً
mânend,مانند
mânevî,معنوى
mâneviyat,معنويات
manevra,مانورا
manga,مانغه
mangal,مانغال
manganez,مانغانز
mangır,مانغير
mânî,مانع
mânî,مانى
mâni,مانى
mânia,مانعه‌
mânialı,مانعه‌لى
mânîdar,معنيدار
manifatura,مانيفاتورا
manifaturacı,مانيفاتوراجى
manifaturacılık,مانيفاتوره‌جيلق
manifesto,مانيفستو
manikür,مانيكور
manipülâsyon,مانيپولاسيون
manipülâtör,مانيپولاتور
Manisa,معنيسا
manivelâ,مانيوله
mankafa,مانقفا
mankafalık,مانقفالق
manken,مانكه‌ن
mansıb,منصب
mansûb,منصوب
mansur,منصور
mantar,منطار
mantar,مانطار
mantarcı,مانطارجى
mantarcılık,مانطارجيلق
mantarlı,مانطارلى
mantarmeşesi,مانطارميشه‌سى
Mantı,مانطى
Mantı,مانتى
mantı,مانطى
mantık,منطق
mantıkî,منطق
manto,مانتو
manyak,مانياق
manyetizma,مانيه‌تيزمه
manyetizör,مانيه‌تيزور
manyeto,مانيه‌تو
manyezyum,مانيه‌زييوم
manzara,منظره
manzûm,منظوم
manzûme,منظومه
manzûr,منظور
marangoz,مارانغوز
marangozluk,مارانغوزلق
Maraş,مرعش
maraz,مرض
Mardin,ماردين
ma’reke,معركه
mareşal,ماره‌شال
mareşallik,ماره‌شاللق
margarin,مارغارين
mârifet,معرفت
marîz,مريض
marka,مارقا
markalamak,مارقالامق
markalı,مارقالى
Marmara,مرمره
Marmaris,مرمريس
marmelât,مارمالاد
maraken,ماروكن
marpuç,مارپوچ
marpuçcu,مارپوچجى
mars,مارس
marsık,مارصيق
marşandiz,مارشانديز
mart,مارت
martaval,مارتاوال
martavalcı,مارتاوالجى
martı,مارتى
ma’rûf,مصروف
marul,مارول
marulcuk,مارولجق
mârûz,معرض
mâruz,معروض
mas,مص
masa,ماصه
masaj,ماساژ
masal,مصال
masal,ماصال
masârif,مصارف
masdar,مصدر
mâsebâk,ماسبق
mâsivâ,ماسوا
maskara,مسخره
maskaralık,مسخره‌لق
maslahat,مصلحت
maslahatlı,مصلحتلى
maslahatgûzar,مصلحتگذار
maslahatgûzarlık,مصلحتگذارلق
maslûb,مصلوب
masmavî,ماس ماوى
masnû’,مصنوع
masraf,مصرف
masraflı,مصرفلى
masrûf,مصروف
mâsum,معصوم
mâsûmâne,معصومانه
mâsûmiyet,معصوميت
masûn,مصون
masûniyet,مصونيت
masura,ماسورا
maşa,ماشا
maşalı,ماشالى
ma’şer,معشر
mâşeri,معشرى
mâşiyen,ماشياً
maşlah,مشلح
maşraba,مشربه
maşrapa,ماشرابه
mâşuk,معشوق
mat,مات
mata,ماطه
matah,ماتاح
matara,مطره
matbaa,مطبعه
matbû,مطبوع
mâtem,ماتم
mâtemli,ماتملى
mâtemzede,ماتمزده
materyalist,ماته‌رياليست
materyalizm,ماته‌رياليزم
matetmek,مات ايتمك
matine,ماتينه
matkab,ماتقاب
matla’,مطلع
matlâb,مطلب
matlûb,مطلوب
matris,ماتريس
matrûd,مطرود
matrûh,مطروح
matûh,معتوه
mâvera,ماورا
mâvi,ماوى
mâvilik,ماويلك
mâvimsi,ماويمسى
mâvimtrak,ماويمترك
mâviş,ماويش
mavna,مائونا
mavuna,مانا
mavuna,ماعونه
maya,مايه
mayalandırmak,مايه‌لانديرمق
mayalanmak,مايه‌لانمق
mayalatmak,مايه‌لاتمق
mayalı,مايه‌لى
mayalık,مايه‌لق
mayasıl,ماياسيل
mayasılotu,ماياسيل اوتى
mayasız,مايه‌سز
maydanoz,مايدانوس
mayhoş,مايخوش
mayhoşluk,مايخوشلق
mâyi,مايع
mayıs,مايس
mayıs,مايس
mayısböceği,مايس بوجگى
maymun,مايمون
maymuncu,مايمونجى
maymuncuk,مايمونجق
maymuniştahlı,مايمون اشتهالى
maymunsuratlı,مايمون صورتلى
mayo,مايو
mayonez,مايونز
mayonezli,مايونزلى
ma’yûb,معيوب
mazak,مازاق
mazanna,مظنه
mazarrat,مضرت
mazbata,مضبوط
mazbût,معذرت
mâzeret,ماذرت
mazgal,مازغال
mazgallı,مازغاللى
mazhar,مظهر
mazı,مازى
mâzi,ماضى
mazkirt,ماذكرد
mazlûm,مظلوم
mazmaza,مضمضه
mazmûm,مضموم
mazmûn,مضمون
maznûn,مظنون
mazrûf,مظروف
ma’zûl,معزول
mâ’zûr,معذور
meâdin,معادن
meâl,مآل
meâlen,مآلاً
meâli,معالى
meâni,معانى
mebâdi,مبادى
mebâni,مبانى
mebde,مبدأ
mebhas,مبحث
mebhût,مبهوت
meblâğ,مبلغ
mabnî,مبنى
mebsut,مبسوط
meb’us,مبعوث
meb’usluk,مبعوثلق
mebzûl,مبذول
mebzûliyet,مبذوليت
mecâl,مجال
mecâlsiz,مجالسز
mecâlsizlik,مجالسزلك
mecaz,مجاز
mecâzî,مجازى
mecbur,مجبور
mecelle,مجله
mechül,مجهول
mecîdiye,مجيديه
Mecidiye,مجيديه
Mecidözü,مجيداوزى
meclis,مجلس
meclûb,مجلوب
mecma,مجمع
mecmû,مجموع
mecmua,مجموعه
mecmûan,مجموعاً
mecnun,مجنون
mecrâ,مجرا
mecrûh,مجروح
Me’cuc,مأجوج
mecûsî,مجوسى
mecûsîlik,مجوسيلك
meczûb,مجذوب
medar,مدار
meddah,مداح
meddahlık,مداحلق
meddücezir,مدوجزر
meded,مدد
medeni,مدنى
medeniyet,مدنيت
medeniyetsiz,مدنيتسز
medfen,مدفن
medfun,مدفون
medhal,مدخل
medhetmek,مدح ايتمك
medih,مدح
medlûl,مدلول
medrese,مدرسه
medyum,مه‌دييوم
medyûn,مديون
mefâhir,مفاخر
mefhar,مفخر
mefharet,مفخرت
mefhum,مفهوم
mefkûre,مفكوره
meflûc,مفلوج
mefrûş,مفروش
mefsedet,مفسدت
meftûn,مفتون
meftûniyet,مفتونيت
mef’ûl,مفعول
mef’ûlübih,مفعول به
mef’ûlüileyh,مفعول اليه
meğer,مگر
meğerki,مگركه
mehâbet,مهابت
mehâfil,محافل
mehâkim,محاكم
mehâsin,محاسن
me’haz,مأخذ
mehcur,مهجور
mehcûriyet,مهجوريت
mehd,مهد
mehdî,مهدى
mehenk,مهنك
mehib,مهيب
mehlike,مهلكه
mehpâre,مهپاره
mehtab,ماهتاب
mehtâb,مهتاب
mehter,مهتر
mehterhâne,مهترخانه
me’hûz,مأخوذ
mekân,مكان
mekik,مكيك
mekin,مكين
mekkâre,مكاره
mekkâreci,مكاره‌جى
Mekke,مكه
meknûz,مكنوز
mekremet,مكرمت
mekruh,مكروه
meksur,مكسور
mekşûf,مكشوف
mekteb,مكتب
mektub,مكتوب
mektubcu,مكتوبجى
mektûm,مكتوم
mektuplaşmak,مكتوبلاشمق
me’kûlât,مأكولات
mel’abe,ملعبه
melâhat,ملاحت
melâike,ملائكه
melâl,ملال
melâmet,ملامت
melâmi,ملامى
mel’anet,ملعنت
melbûsât,ملبوسات
melce,ملجأ
melek,ملك
melekât,ملكات
meleke,ملكه
melekût,ملكوت
meleme,مله‌مه
melemek,مله‌مك
melez,ملز
melfût,ملفوف
melfûfât,ملفوفات
melhame,ملحمه
melhem,ملهم
melhem,مرهم
melhuz,ملحوظ
melhûzât,ملحوظات
melîh,مليح
melik,ملك
melîke,مليكه‌
melîke,ملكه
melodi,مه‌لودى
meltem,ملتم
me’lûf,مألوف
melûl,ملول
mel’ûn,ملعون
memâlik,ممالك
memât,ممات
memba,منبع
memdûd,ممدود
memdûde,ممدوده
memdûh,ممدوح
meme,ممه
memeli,ممه‌لى
memleket,مملكت
memleketli,مملكتلى
memlû,مملو
memlûk,مملوك
memlûkiyet,مملوكيت
memnû,ممنوع
memnûiyet,ممنوعيت
memnûn,ممنون
memnünen,ممنوناً
memnûniyet,ممنونيت
memûl,مأمول
memûr,مأمور
memûren,مأموراً
memûriyet,مأموريت
memurluk,مئمورلق
men,منع
menâfi,منافع
menâm,منام
menâsik,مناسك
mendebur,منده‌بور
mendil,منديل
mendûb,مندوب
menekşe,منكشه
menemen,منمن
menend,منند
menetmek,منع ايتمك
meneviş,منويش
menevişli,منويشلى
menfâ,منفا
menfaat,منفعت
menfez,منفذ
menfi,منفى
menfûr,منفور
mengene,منگنه
menhiyât,منهيات
menhus,منحوس
meni,منى
menkıbe,منقبه
menkûb,منكوب
menkûbiyet,منكوبيت
menkûha,منكوحه
menkûl,منقول
menkûş,منقوش
mensûb,منسوب
mensûbât,منسوبات
mensûbiyet,منسوبيت
mensûcât,منسوجات
mensûh,منسوخ
mensûr,منثور
menşe,منشأ
menşûr,منشور
menteşe,منتشه
men’us,مأنوس
menzil,منزل
menzilci,منزلجى
menzilhâne,منزلخانه
mer’a,مرعا
merak,مراق
meraklanmak,مراقلانمق
meraklı,مراقلى
meraksız,مراقسز
meraksızlık,مراقسزلق
meral,مرال
mer’alık,مرعالق
meram,مرام
merâsim,مراسم
merbût,مربوط
merbûtan,مربوطاً
merbûtât,مربوطات
merbûtiyet,مربوطيت
mercan,مرجان
merci,مرجع
mercimek,مرجمك
merd,مرد
merdâne,مردانه
merdiven,مرديان
merdlik,مردلك
merdûd,مردود
meret,مرت
merfû,مرفوع
mergûb,مرغوب
merhaba,مرحبا
merhabalaşmak,مرحبالاشمق
merhale,مرحله
merhamet,مرحمت
merhametli,مرحمتلى
merhametsiz,مرحمتسز
merhametsizlik,مرحمتسزلك
merhem,مرهم
merhûm,مرحوم
merhûn,مرهون
mer’î,مرغى
mer’î,مرئى
merih,مريخ
mer’iyât,مرئيات
merkad,مرقد
merkebci,مركبجى
merkez,مركز
merkezi,مركزى
merkeziyet,مركزيت
merkûm,مرقوم
merkûz,مركوز
mermer,مرمر
mermerkireci,مرمركيرجى
mermerlik,مرمرلك
mermi,مرمى
merserize,مرسه‌ريزه
mersi,مرسى
mersin,مرسين
mersin,مرسين
mersinbalığı,مرسين باليغى
mersiye,مرثيه
mersûm,مرسوم
mertebe,مرتبه
mertek,مرتك
mervî,مروى
Meryem,مريم
Meryemana,مريم آنا
Merzifon,مرزيفون
merzûk,مرزوق
mes,مس
mesâbe,مثابه
mesâfe,مسافه
mesâğ,مساغ
mesâha,مساحه
mesâî,مساعى
mesaaib,مصائب
mesâil,مسائل
mesaalih,مصالح
mesâme,مسامه
mesâmât,مسامات
mesâne,مثانه
mesâvi,مساوى
mesbûk,مسبوق
mescid,مسجد
mesel,مثل
mesela,مثلا
mes’ele,مسئله
mes’ele,مسأله
meserret,مسرت
mes’etmek,مس ايتمك
Mesih,مسيح
mesîhî,مسيحى
mesîre,مسيره
mesken,مسكن
meskenet,مسكنت
meskûkât,مسكوكات
meskûn,مسكون
meslek,مسلك
mesleksiz,مسلكسز
mesmû,مسموع
mesmûât,مسموعات
mesmûm,مسموم
mesned,مسند
mesnevî,مثنوى
mesnûn,مسنون
mesrûr,مسرور
messetmek,مس ايتمك
mest,مست
mestâne,مستانه
mestur,مستور
Mes’ûdiye,مسعوديه
mes’ul,مسئول
mes’ûliyet,مسئوليت
meşâhir,مشاهير
meş’ale,مشعله
meşbû,مشبوع
meşe,ميشه
meşekkat,مشقت
meşgale,مشغله
meşgûl,مشغول
meşhed,مشهد
meşhûd,مشهود
meşhûr,مشهور
meşihat,مشيخت
meşîme,مشيمه
meşin,مشين
meşiyet,مشيت
meşk,مشق
meşkûk,مشكوك
meşkûr,مشكور
meşreb,مشرب
meşrık,مشرق
meşru,مشروع
meşrût,مشروط
meşrûta,مشروطه
meş’ûm,مشئوم
meşveret,مشورت
met,مد
med,مد
metâ,متاع
metafizik,مه‌تافيزيك
metâlib,مطالب
metânet,متانت
metbû,متبوع
metbûiyet,متبوعيت
metelik,متاليك
metin,متن
metin,متين
metre,متره
metres,مترس
metro,مترو
metropolit,متروپوليت
metropoliten,متروپوليته‌ن
metropolitlik,متروپوليتلك
metrûk,متروك
metrûkat,متروكات
mevce,موجه
mevcûdât,موجودات
mevdû,مودوع
meveddet,مودت
mevhibe,موهبه
mevhûm,موهوم
mev’iza,موعظه
mevkî,موقع
mevkib,موكب
mevkif,موقف
mevkuf,موقوف
mevkût,موقوت
mevlâ,مولى
Mevlâ,مولا
mevlevî,مولوى
mevlid,مولد
mevlûd,مولود
mevrûs,موروث
mevsim,موسم
mevsimlik,موسملك
mevsûf,موصوف
mevsûk,موثوق
mevsûl,موصول
mevt,موت
mevtâ,موتا
mev’ûd,موعود
mevzî,موضع
mevzû,موضوع
mevzûn,موزون
meyan,ميان
meyâne,ميانه
meydan,ميدان
meydanlık,ميدانلق
meyelân,ميلان
meyhâne,ميخانه
meyhâneci,ميخانه‌جى
meyil,ميل
meyilli,ميللى
meymenet,ميمنت
meymenetli,ميمتلى
meymenetsiz,ميمنتسز
meymenetsizlik,ميمنتسزلك
me’yûs,مأيوس
me’yûsiyet,مأيوسيت
meyve,ميوه
meyveli,ميوه‌لى
meyyâl,ميال
meyyit,ميت
mezâhib,مذاهب
mezâhim,مزاحم
mezâlim,مظالم
mezâmîr,مزامير
mezar,مزار
mezarcı,مزارجى
mezarcılık,مزارجيلق
mezaristan,مزارستان
mezarlık,مزارلق
mezartaşı,مزار طاشى
mezat,مزاد
mezatmalı,مزادمالى
mezâya,مزايا
mezbaha,مذبحه
mezbele,مزبله
mezc,مزج
mezcetmek,مزج ايتمك
meze,مزه
mezellet,مذلت
mezheb,مذهب
mezîd,مزيد
meziyet,مزيت
mezkûr,مذكور
mezmûm,مذموم
mezra,مزرعه
mezrea,مزرعه
mezrû,مزرروع
me’zun,مأذون
me’zûniyet,مأذونيت
mıh,ميخ
mıhlamak,ميخلامق
mıhlanmak,ميخلانمق
mıhlı,ميخلى
mıknatis,مقناطيس
mıknatisî,مقناطيسى
mıknatisiyet,مقناطيسيت
mıntaka,منقطه
mırıldamak,ميريلدامق
mırıldanmak,ميريلدانمق
mırıltı,ميريلتى
mırmır,ميرمير
Mısır,مصر
Mısırlı,مصرلى
mısrâ,مصراع
mıymıntı,ميمينتى
mızıka,موزيقه
muzıka,موزيقه
mızmız,ميزميز
mızmız,مزمز
mızmızlık,مزمزلق
mızrab,مضراب
mızrak,مزراق
mızraklı,مزراقلى
mîde,معده
midevî,معدوى
midilli,مدللى
Midilli,مدللى
Midyat,مديات
midye,ميديه‌
midye,مديه
miftah,مفتاح
migren,ميغره‌ن
miğfer,مغفر
Mihalıççık,ميخالچچق
mihenk,محنك
mihir,مهر
mihman,مهمان
mihmândar,مهماندار
mihnet,محنت
mihrâb,محراب
mihrakmikaat,محراق
mikat,ميقات
mik’ab,مكعب
mikdar,مقدار
mikrob,ميقروب
mikrofon,ميقروقونون
mikroskob,ميقروسقوب
mikyâs,مقياس
mil,ميل
milâd,ميلاد
Milâs,ميلاس
milel,ملل
milh,ملح
miligram,ميليغرام
milim,ميليم
milimetre,ميليمتره
millet,ملت
milli,ملى
milliyet,مليت
milyar,ميليار
milyon,ميليون
mimâr,معمار
mimber,منبر
mimik,ميميك
mimlemek,ميمله‌مك
mimlenmek,ميمله‌نمك
mimli,ميملى
mîna,مينا
minâre,مناره
mincihetin,من جهةٍ
minder,مندر
mine,مينه
minerci,مينه‌جى
mineçiçeği,مينه‌چيچكى
minelemek,مينه‌لمك
mineli,مينه‌لى
minhâc,منهاج
minik,مينيك
minimini,مينى‌مينى
minimum,مينيموم
minnet,منت
minnetdar,منتدار
minnetdarlık,منتدارلق
mintan,منتان
minvâl,منوال
minyatür,مينياتور
minyon,مينيون
mîr,مير
mi’râç,معراج
miralay,ميرالاى
miralaylık,ميرالايلق
mîras,ميراث
mîrasyedi,ميراث يدى
mîrasyedilik,ميراث يديلك
mîrî,ميرى
mirsaad,مرصاد
mirzâ,ميرزا
mis,ميس
misâfir,مسافر
misâfirhâne,مسافرخانه
misâfirlik,مسافرلك
misâfirperver,مسافرپرور
misâfirperverlik,مسافرپرورلك
mîsâk,ميثاق
misâl,مثال
misbah,مصباح
misil,مثل
misilli,مثللو
misk,مسك
miskal,مثقال
misket,مسكت
miskin,مسكين
miskinâne,مسكينانه
miskinhâne,مسكينخانه
mister,ميستر
misvâk,مسواك
misyon,ميسيون
misyoner,ميسيونر
miting,ميتينغ
mitoloji,ميتولوژى
mitralyoz,ميتراليوز
miyan,ميان
miyar,معيار
miyob,مييوب
mizac,مزاج
mizaclı,مزاجلى
mizacsız,مزاجسز
mizacsızlık,مزاجسزلق
mizah,مزاح
mizan,ميزان
moda,موده
model,موده‌ل
modern,موده‌رن
modernizm,موده‌رنيزم
Moğol,مغول
Moğolistan,مغولستان
mola,ملا
molekül,موله‌كول
molla,ملا
moloz,مولوز
monarşi,مونارشى
monizm,مونيزم
monogram,مونوغرام
monolok,مونولوغ
monoplan,مونوپلان
monopol,مونوپول
monotip,مونوتيپ
monoton,مونوتون
monşer,مونشر
montaj,مونتاژ
mor,مور
Mora,موره
morarmak,مورارمق
morartmak,مورارتمق
morfin,مورفين
morfinoman,مورفينومان
morfinomani,مورفينومانى
morluk,مورلق
morumsu,مورومسى
morumtrak,مورومتراق
moskof,موسقوف
mosmor,موس‌مور
mostra,موسترا
motif,موتيف
motosıklet,موتوسيقله‌ت
motör,موتور
mozaik,موزائيق
mozot,مازوت
mazot,مازوت
mösyö,موسيو
muaccel,معجل
muaccele,معجله
muaddel,معدل
muaddil,معدل
muâdele,معادله
muâdil,معادل
muaf,معاف
muâfiyet,معافيت
muâhaze,مؤاخذه
muahhar,مؤخر
muâhede,معاهده
muâlece,معالجه
muallâ,معلى
muallâ,معلا
muallâk,معلق
muallâka,معلقه
muallel,معلل
muallem,معلم
muallim,معلم
muâmele,معامله
muammâ,معما
muammer,معمر
muâneka,معانقه
muanid,معاند
muannid,معند
muaraza,معارضه
muârefe,معارفه
muârız,معارض
muâsır,معاصر
muâşaka,معاشقه
muâşeret,معاشرت
muattal,معطل
muattar,معطر
muâvenet,معاونت
muâvin,معاون
muâyede,معايده
muâyene,معاينه
muayyen,معين
muazzam,معظم
muazzeb,معذب
muazzez,معزز
mubah,مباح
mubahase,مباحثه
mübâlâğa,مبالغه
mübârek,مبارك
mübârek,مبارك
mubassır,مبصر
mubassırlık,مبصرلق
mûcib,موجب
mûcibince,موجبنجه
mûcid,موجد
mûciz,معجر
mûcize,معجزه
mucur,موجور
Mucur,موجور
Mudanya,مدانيه
mudarabe,مضاربه
Mudurnu,مدرنى
mufârekat,مفارقت
mufârık,مفارق
mufassal,مفصل
mufassalan,مفصلاً
mugaddi,مغدى
mugâyir,مغاير
mugâlâta,مغالطه
muganni,مغنى
mugayyebât,مغيّبات
mugayyer,مغير
mugâlâta,مفالطه
muğber,مغبر
Muğla,مغله
muğlâk,مغلق
muhabbet,محبت
muhabbetnâme,محبتنامه
muhâbere,مخابره
muhâbir,مخابر
muhâceret,مهاجرت
muhâcir,مهاجر
muhaddeb,محدب
muhaddis,محدث
muhâfaza,محافظه
muhâfız,محافظ
muhâfızlık,محافظلق
muhâkeme,محاكمه
muhakkak,محقق
muhakkar,محقر
muhâl,محال
muhâlefet,مخالفت
muhâlif,مخالف
muhallef,مخلف
muhallefat,مخلفات
muhalled,مخلّد
muhallil,محلل
Muhammedî,محمدى
muhammes,مخمس
muhammin,مخمن
muhamminlik,مخمنلك
muhârebe,محاربه
muhârib,محارب
muharrem,محرم
muharrer,محرر
muharrerât,محررات
muharref,محرف
muharrif,محرف
muharrik,محرك
muharrir,محرر
muharriş,مخرش
muhâsama,مخاصمه
muhâsara,محاصره
muhasebât,محاسبات
muhâsebe,محاسبه
muhâsebeci,محاسبه‌جى
muhâsım,مخاصم
muhâsır,محاصر
muhâsib,محاسب
muhâsiblik,مخاسبلك
muhassala,محصله
muhassas,مخصص
muhassasat,مخصصات
muhassenât,محسنات
muhat,محاط
muhâtab,مخاطب
muhâtara,مخاطره
muhâtaralı,مخاطره‌لى
muhâti,مخاطى
muhâvere,محاوره
muhavvel,محول
muhayyel,مخيل
muhayyelât,مخيلات
muhayyer,مخير
muhayyile,مخيله
muhbir,مخير
muhib,محب
muhil,مخل
muhit,محيط
muhkem,محكم
muhlis,مخلص
muhnık,مخنق
muhrık,محرق
muhrib,مخرب
muhsin,محسن
muhtâc,محتاج
muhtar,مختار
muhtas,محتس
muhtasar,مختصر
muhtefi,مختفى
muhtekir,محتكر
muhtel,مختل
muhtelif,مختلف
muhtelit,مختلط
muhtelis,مختلس
muhtemel,محتمل
muhterem,محترم
muhteri,مخترع
muhteşem,محتشم
muhtevi,محتوى
muhteviyât,محتويات
muhtıra,مخطره
muhti,مخطى
mukaabele,مقابله
mukabele,مقابله
mukaabeleci,مقابله‌جى
mukabeleci,مقابله‌جى
mukaabelebilmisil,مقابله‌بالمثل
mukabelebilmisil,مقابله‌بالمثل
mukaabil,مقابل
mukabil,مقابل
mukaarebet,مقاربت
mukarebet,مقاربت
mukaarenet,مقارنت
mukarenet,مقارنت
mukaarib,مقارب
mukarib,مقارب
mukaarin,مقارن
mukarin,مقارن
mukaatele,مقاتله
mukatele,مقاتله
mukaavele,مقاوله
mukavele,مقاوله
mukaavelenâme,مقاوله‌نامه
mukavelenâme,مقاوله‌نامه
mukaavemet,مقاومت
mukavemet,مقاومت
mukaavim,مقاوم
mukavim,مقاوم
mukaayese,مقايسه
mukayese,مقايسه
mukaddem,مقدم
mukaddemâ,مقدما
mukaddemât,مقدمات
mukaddeme,مقدمه
mukadder,مقدر
mukaddes,مقدس
mukaffâ,مقفا
mukallib,مقلب
mukallid,مقلد
mukannen,مقنن
mukarreb,مقرب
mukarrer,مقرّر
mukassim,مقسم
mukattâ,مقطع
mukattar,مقطر
mukavva,مقوا
mukavves,مقوس
mukavvî,مقوى
mukayyed,مقيد
mukayyid,مقيد
mukbil,مقبل
muktazâ,مقتضا
muktebes,مقتبس
muktedâ,مقتدا
muktedir,مقتدر
muktesit,مقتصد
mukîm,مقيم
muknî,مقنع
mum,موم
mumâileyh,مومى اليه
mumcu,مومجى
mumya,موميا
munfasıl,منفصل
munhasır,منحصر
mûnis,مونس
munkabız,منقبض
munkalib,منقلب
munkatî,منقطع
munsarif,منصرف
munsıf,منصف
muntazam,منتظم
muntazar,منتظر
muntazır,منتظر
munzam,منظم
murâbaha,مرابحه
murâbahacı,مرابحه‌جى
murâbahacılık,مرابحه‌جيلق
murabba,مربع
murad,مراد
Murâdiye,مراديه
murâfaa,مرافعه
murahhas,مرخص
murahhaslık,مرخصلق
murâkabe,مراقبه
murâkıblık,مراقبلق
murassâ,مرصع
murdar,مردار
murdarlık,مردارلق
mürîdâne,مريدانه
mürşid,مرشد
musâb,مصاب
musaddak,مصدق
musaddık,مصدق
musâdeme,مصادمه
musâdif,مصادف
musaffâ,مصفا
musâhabet,مصاحبت
musâhib,مصاحب
musahhah,مصحح
musahhih,مصحح
musakka,موصاقه
musâlâha,مصالحه
musallâ,مصلا
musallat,مسلط
musallî,مصلى
musannâ,مصنع
musannefat,مصنفات
musannif,مصنف
musavver,مصور
musavvir,مصور
mûsevi,موسوى
mushaf,مصحف
musîb,مصيب
musîbet,مصيبت
mûsîkî,موسيقى
muska,موسقه
muslih,مصلح
muslin,موسلين
musluk,موصلق
Mustafa,مصطفى
Muş,موش
muş,موش
muşamba,موشامبه
muşmula,موشموله
muşta,موشتا
muşta,مشته
Mut,موط
mutaassıb,متعصّب
mutâbakat,مطابقت
Mutâbık,مطابق
mûtad,معتاد
mutaf,مطاف
mutaf,موناف
mutahhar,مطهر
mutâlebât,مطالبات
mutantan,مطنطن
mutasaddî,متصدى
mutasarrıf,متصرف
mutasarrıflık,متصرفلق
mutasavver,متصور
mutasavvıf,متصوف
mutâvaat,مطاوعت
mutavvel,مطول
mutazallim,متظلم
mutazammın,متضمن
mutazarrır,متضرر
mûteber,معتبر
mûtedil,معتدل
mû’tekid,ممتقد
mû’tekif,معتكف
mû’tel,معتل
mû’temed,معتمد
mû’tenâ,معتنا
mû’terif,معترف
mutevahhiş,متوحش
mû’tezil,معتزل
mû’tezile,معتزله
mutfak,مطيخ
mutî,معطى
muti,مطيع
Mutki,موطكى
mutlak,مطلق
mutlakaa,مطلقا
mutlaka,مطلقا
mutlakıyet,مطلقيت
mutlu,موتلى
mutmain,مطمئن
muttalî,مطلع
muttarid,مطرد
muttariden,مطرداً
muttasıf,متصف
muttasıl,متصل
muvâcehe,مواجهه
muvâceheten,موجهةً
muvâfakat,موافقت
muvaffak,موفق
muvaffakiyet,موفقيت
muvafık,موفق
muvahhid,موحد
muvakkat,موقت
muvakkit,موقت
muvâsalat,مواصلت
muvâzaa,مواضعه
muvâzene,موازنه
muvâzi,موازى
muvâzin,موازن
muvazzaf,موظف
muvazzah,موضح
muz,موز
muzâaf,مضاعف
muzâf,مضعاف
muzaffer,مظفر
muzâfiileyh,مضاف اليه
muzâhame,مزاحمه
muzâheret,مظاهرت
muzâhir,مظاهر
muzârî,مضارع
muzâyeka,مضايقه
muzır,مضر
mûzib,معذب
mûzib,موذب
muz’ic,مزعج
muzmahli,مضمحل
muzmer,مضمر
muztar,مضطر
muztarib,مضطرب
mübâdele,مبادله
mübâdil,مبادل
mübâhât,مباهات
mübâhi,مباهى
mübâlâğacı,مبالغه‌جى
mübâlâğalı,مبالغه‌لى
mübâlât,مبالات
mübâreze,مبارزه
mübâriz,مبارز
mübâşeret,مباشرت
mübâşir,مباشر
mübâyaa,مبايعه
mübâyaacı,مبايعه‌جى
mübâyenet,مباينت
mübâyin,مباين
mübdî,مبدع
mübeccel,مبجيل
müberrâ,مبرّا
mübeşşir,مبشر
mübeyyin,مبين
mübhem,مبهم
